state,fiscal_year,value,agency,bureau,program
South Carolina,2017,98836,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
South Dakota,2017,19465,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Tennessee,2017,134299,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Texas,2017,553931,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Utah,2017,46716,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Vermont,2017,14191,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Virginia,2017,118210,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Washington,2017,155782,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
West Virginia,2017,36373,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Wisconsin,2017,92680,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Wyoming,2017,8909,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Alabama,2018,114047,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Alaska,2018,25316,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Arizona,2018,130051,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Arkansas,2018,71813,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
California,2018,1162712,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Colorado,2018,78309,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Connecticut,2018,48276,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Delaware,2018,16641,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
District of Columbia,2018,15500,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Florida,2018,380998,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Georgia,2018,225387,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Hawaii,2018,33400,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Idaho,2018,31321,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Illinois,2018,235358,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Indiana,2018,114696,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Iowa,2018,46254,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Kansas,2018,49751,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Kentucky,2018,101166,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Louisiana,2018,129996,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Maine,2018,18770,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Maryland,2018,119787,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Massachusetts,2018,85954,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Michigan,2018,200374,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Minnesota,2018,105135,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Mississippi,2018,86504,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Missouri,2018,95655,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Montana,2018,16002,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Nebraska,2018,34055,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Nevada,2018,53535,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New Hampshire,2018,11867,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New Jersey,2018,155244,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New Mexico,2018,47040,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New York,2018,512504,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
North Carolina,2018,209707,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
North Dakota,2018,11153,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Ohio,2018,164815,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Oklahoma,2018,66185,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Oregon,2018,80118,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Pennsylvania,2018,208981,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Rhode Island,2018,18915,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
South Carolina,2018,97493,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
South Dakota,2018,19200,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Tennessee,2018,132475,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Texas,2018,546406,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Utah,2018,46082,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Vermont,2018,13999,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Virginia,2018,116605,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Washington,2018,153666,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
West Virginia,2018,35879,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Wisconsin,2018,91421,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Wyoming,2018,8788,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Alabama,2016,219343,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
Alaska,2016,35419,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
Arizona,2016,278118,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
Arkansas,2016,134994,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
California,2016,1471536,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
Colorado,2016,134305,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
Connecticut,2016,98891,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
Delaware,2016,36358,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
District of Columbia,2016,28071,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
Florida,2016,821088,Department of Agriculture,Food and Nutrition Service,National School Lunch Program
